严重性	代码	说明	项目	文件	行	抑制状态
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	332	
消息(活动)	IDE0018	可以内联变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Table\SchemaTableController.cs	333	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\CoreShell\ProviderManagerPage.cs	62	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	288	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	296	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	313	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\InternalMods\ItemModKitPanel\VarsTable.cs	321	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\PublicApi.cs	22	
消息(活动)	IDE0042	可以析构变量声明	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\PublicApi.cs	23	
消息(活动)	IDE0034	可以简化 "default" 表达式	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Settings\SettingsPersistence.cs	37	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\App\SettingsShell.cs	68	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\App\SettingsShell.cs	102	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\App\SettingsShell.cs	103	
消息(活动)	IDE0031	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\App\SettingsShell.cs	117	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	64	
消息(活动)	IDE0270	可以简化 Null 检查	IMK.SettingsUI	C:\Users\Administrator\source\repos\Diablo2Totem\IMK.SettingsUI\Cards\CardTemplates.cs	65	
